City,Banana Price
"New York, NY",2.38
"Los Angeles, CA",2.48
"Chicago, IL",1.85
"Houston, TX",1.36
"Phoenix, AZ",1.43
"Philadelphia, PA",2.2
"San Antonio, TX",1.59
"San Diego, CA",1.71
"Dallas, TX",1.53
"San Jose, CA",2.14
"Austin, TX",1.54
"Jacksonville, FL",1.5
"Fort Worth, TX",2.1
"Columbus, OH",1.32
"San Francisco, CA",2.97
"Charlotte, NC",1.54
"Indianapolis, IN",1.27
"Seattle, WA",2.24
"Denver, CO",1.84
"Washington, DC",1.91
"Boston, MA",2.11
"El Paso, TX",1.25
"Nashville, TN",1.79
"Detroit, MI",1.2
"Oklahoma City, OK",1.6
"Portland, OR",2.06
"Las Vegas, NV",1.54
"Memphis, TN",1.69
"Louisville, KY",1.72
"Baltimore, MD",1.93
"Milwaukee, WI",1.2
"Albuquerque, NM",1.43
"Tucson, AZ",1.75
"Fresno, CA",1.97
"Mesa, AZ",1.75
"Sacramento, CA",2.02
"Atlanta, GA",1.8
"Kansas City, MO",1.62
"Colorado Springs, CO",1.74
"Miami, FL",1.75
"Raleigh, NC",1.38
"Omaha, NE",2.2
"Long Beach, CA",1.85
"Virginia Beach, VA",1.46
"Oakland, CA",2.28
"Minneapolis, MN",1.96
"Tulsa, OK",1.76
"Arlington, VA",1.91
"New Orleans, LA",1.65
"Wichita, KS",1.68
"Cleveland, OH",1.43
"Tampa, FL",1.67
"Bakersfield, CA",1.63
"Aurora, IL",1.35
"Honolulu, HI",3.68
"Anaheim, CA",2.02
"Santa Ana, CA",1.83
"Corpus Christi, TX",1.54
"Riverside, CA",1.92
"Saint Louis, MO",1.6
"Lexington, KY",1.36
"Stockton, CA",1.43
"Pittsburgh, PA",1.65
"Saint Paul, MN",1.18
"Cincinnati, OH",1.5
"Anchorage, AK",1.96
"Henderson, NV",1.67
"Greensboro, NC",1.97
"Plano, TX",1.53
"Newark, NJ",1.44
"Lincoln, NE",1.31
"Toledo, OH",1.65
"Chula Vista, CA",1.9
"Orlando, FL",1.87
"Irvine, CA",1.83
"Fort Wayne, IN",1.2
"Jersey City, NJ",1.64
"Durham, NC",1.16
"Chandler, AZ",1.51
"Madison, WI",1.39
"Laredo, TX",1.59
"Buffalo, NY",1.57
"Lubbock, TX",1.46
"Chesapeake, VA",1.07
"Scottsdale, AZ",1.43
"Glendale, CA",1.71
"Reno, NV",1.88
"Norfolk, VA",0.66
"Winston-Salem, NC",1.97
"Gilbert, AZ",1.75
"Chattanooga, TN",1.73
"Hialeah, FL",1.54
"Garland, TX",1.26
"Fremont, CA",2.02
"Richmond, VA",1.16
"Boise, ID",1.4
"San Bernardino, CA",1.48
"Spokane, WA",1.64
"Des Moines, IA",1.62
"Modesto, CA",2.97
"Tacoma, WA",1.72
"Columbus, OH",1.32
"Montgomery, AL",1.49
"Akron, OH",1.66
"Shreveport, LA",1.41
"Little Rock, AR",1.41
"Augusta, GA",2.26
"Glendale, CA",1.71
"Huntington Beach, CA",1.83
"Overland Park, KS",1.27
"Columbia, SC",1.79
"Naperville, IL",1.35
"McKinney, TX",1.6
"Dayton, OH",1.72
"Fort Collins, CO",1.53
"Bellevue, WA",2.24
"O'Fallon, MO",1.6
"Round Rock, TX",1.54
"Bismarck, ND",Null
"Waterbury, CT",1.64
"Newport News, VA",1.05
"Lakeland, FL",1.5
"Killeen, TX",0.98
"Tempe, AZ",1.43
"Chico, CA",2.97
"Colton, CA",1.74
"Rockford, IL",1.04
"Surprise, AZ",1.75
"Knoxville, TN",1.37
"Sugar Land, TX",1.4
"Huntington, WV",1.72
"Macon, GA",1.53
"Vallejo, CA",2.14
"Waco, TX",1.15
"Fargo, ND",2.79
"Independence, KS",1.1
"Clovis, NM",1.27
"Lynn, MA",1.52
"Lafayette, IN",1.72
"Odessa, TX",2.98
"South Bend, IN",1.2
"League City, TX",1.31
"Denton, TX",1.3
"Pearland, TX",Null
"Shreveport, LA",1.41
