local_cheese_price,loaf_of_fresh_white_bread_price,water_price,onion_price,lettuce_price,oranges_price,cigarettes_20_pack_price,apples_price,rice_price,milk_price,imported_beer_price,tomato_price,bottle_of_wine_price,beef_round_price,eggs_price,banana_price,domestic_beer_price,potato_price,chicken_fillets_price,Safety Index
15.98,2.72,1.75,2.94,2.15,9.37,10.75,7.65,7.61,1.12,5.0,6.17,14.0,14.11,2.7,1.6,5.0,1.87,10.89,40.15
13.25,2.84,1.64,2.6,2.05,4.32,9.99,4.93,3.19,1.02,7.0,4.26,13.0,19.0,4.34,1.39,6.0,2.44,9.84,28.28
15.43,4.59,2.2,3.01,2.86,3.86,10.5,6.39,4.7,1.22,8.85,5.46,15.0,14.54,4.52,2.02,8.0,3.24,11.9,46.82
12.34,4.28,2.33,2.96,2.75,6.05,11.0,7.69,4.42,1.2,7.5,7.12,15.99,20.7,3.39,1.96,8.0,2.12,12.76,36.89
16.52,4.18,2.51,3.41,2.54,5.11,12.0,6.22,6.55,1.25,9.0,5.83,16.0,20.78,4.31,1.87,8.0,3.56,15.05,67.37
13.74,4.02,2.32,3.72,2.32,7.24,8.0,7.51,5.86,1.07,8.0,6.3,15.0,17.11,3.9,1.83,6.0,4.54,14.69,35.35
8.46,1.98,1.92,2.77,1.93,3.86,8.0,4.13,4.1,0.8,6.0,3.3,8.99,13.77,3.23,1.83,4.62,2.8,9.9,51.54
7.12,2.95,2.0,2.63,1.83,3.81,8.5,4.4,4.91,0.8,7.0,3.18,12.0,13.95,3.0,1.27,5.0,1.86,11.12,61.91
12.48,3.64,2.12,2.79,1.98,4.43,9.0,5.22,3.28,1.16,7.5,3.99,15.0,14.44,4.1,1.55,6.0,2.75,10.19,57.02
12.49,3.67,2.0,3.05,2.43,4.64,10.5,4.27,5.71,1.0,5.0,5.39,15.0,16.5,2.95,1.63,5.5,1.91,15.79,41.51
13.42,3.94,2.14,2.3,2.48,7.08,12.5,6.42,5.28,1.06,7.5,5.96,14.0,15.04,4.41,1.56,6.0,3.15,10.2,27.28
14.87,4.17,2.4,3.47,2.5,4.77,11.0,5.14,4.43,1.07,8.0,4.71,20.0,15.76,4.4,2.25,8.0,2.99,15.37,71.26
7.72,2.66,1.77,3.31,2.15,3.31,8.25,4.41,2.2,1.08,7.8,,,18.72,2.7,,5.5,1.76,14.31,75.39
12.86,3.51,2.71,2.2,1.96,3.71,8.5,5.26,5.24,0.9,6.5,4.84,15.0,13.23,3.65,1.64,6.5,2.44,8.1,65.05
16.93,4.07,2.44,3.66,2.91,6.64,13.33,5.49,5.97,1.3,9.0,7.09,15.0,20.33,4.43,2.11,8.0,4.42,13.8,60.02
13.34,3.67,2.08,4.04,2.43,5.12,13.97,4.65,4.84,0.91,7.0,4.43,17.99,12.95,3.63,1.59,5.5,2.9,9.07,51.42
10.99,3.4,1.63,2.43,1.29,3.16,9.22,3.54,2.59,0.87,7.0,3.79,12.0,15.1,4.19,1.51,6.0,2.41,10.86,76.61
15.4,3.87,2.0,2.96,1.79,7.77,9.0,6.43,4.59,1.01,7.9,4.14,15.0,16.96,4.39,1.52,6.0,3.93,15.18,53.48
11.52,3.44,1.92,3.79,2.33,5.7,7.75,6.34,4.94,1.1,7.5,4.07,13.0,14.26,3.58,1.59,6.5,3.56,12.69,46.11
14.32,3.99,2.08,2.75,1.54,7.17,10.72,5.05,4.15,0.9,6.5,4.41,10.0,16.5,3.36,1.07,6.0,2.84,8.08,61.76
14.47,4.12,2.49,2.65,2.44,4.22,15.0,5.13,5.55,1.0,8.12,4.44,15.0,18.65,4.32,1.82,7.0,2.38,15.01,33.89
11.02,3.03,2.14,3.41,2.16,3.86,8.0,5.51,3.58,1.32,9.0,5.51,12.0,16.89,4.75,2.27,8.0,4.49,12.13,42.52
13.01,4.44,2.3,2.32,2.12,4.16,11.6,5.02,5.46,1.23,9.0,4.9,15.0,17.94,4.96,1.9,8.0,2.96,12.6,43.7
10.35,3.16,1.97,3.0,1.79,3.15,9.0,4.68,3.27,0.8,7.0,4.92,12.0,15.42,3.02,1.45,5.0,2.05,10.6,51.53
9.75,3.33,2.04,4.91,2.36,3.19,9.0,4.38,4.33,0.8,6.5,3.89,14.99,20.64,3.67,1.51,4.5,4.04,11.96,36.59
,,,2.91,1.84,2.91,,3.25,,0.79,7.0,2.16,,,4.53,1.27,4.0,1.39,,
14.09,3.9,2.43,2.44,2.16,3.5,10.0,4.48,4.6,1.16,7.0,4.8,14.5,19.05,5.48,1.61,6.0,2.98,13.4,58.5
11.02,3.31,2.0,1.32,2.0,4.16,11.0,5.51,3.86,1.19,10.0,5.01,14.0,17.94,4.5,1.74,9.0,1.54,16.22,
9.55,2.65,1.83,4.65,1.85,5.16,8.0,5.12,3.08,0.96,5.0,3.21,12.5,19.04,3.46,1.79,4.0,2.4,14.07,44.99
13.08,2.89,2.14,3.02,2.12,5.65,9.59,6.05,3.92,0.86,7.5,5.11,18.0,15.42,2.88,1.32,5.5,3.66,14.13,50.35
9.37,3.03,1.99,2.23,1.88,2.98,9.0,3.74,3.28,0.94,7.5,2.3,11.75,12.78,4.1,1.55,5.5,2.27,10.19,54.03
13.16,3.6,2.28,3.23,1.87,4.43,10.0,4.79,4.6,0.93,7.0,3.88,15.0,17.2,3.71,1.55,7.0,2.45,12.82,48.53
9.89,2.7,1.53,2.58,1.8,4.14,8.75,4.89,4.43,0.53,8.0,5.32,15.0,13.71,2.99,1.55,5.5,2.64,13.32,36.71
11.53,2.78,1.7,2.18,2.06,4.25,10.97,4.53,3.49,0.81,6.0,4.52,10.75,11.0,3.5,1.3,5.75,3.64,6.61,54.99
14.15,4.12,2.31,2.59,2.02,5.07,10.0,5.69,5.77,1.05,8.0,5.53,16.0,17.73,4.54,1.79,7.5,2.89,13.18,52.16
12.56,2.5,1.95,3.01,2.21,3.66,7.14,4.43,2.2,1.0,7.0,3.51,14.0,13.48,3.55,1.59,5.0,1.64,10.09,57.21
12.3,2.94,1.9,2.48,2.6,5.34,10.0,4.62,5.73,0.87,7.0,5.5,14.99,20.57,3.52,1.2,6.0,2.07,11.96,26.95
9.16,3.4,1.75,2.73,1.91,3.8,9.0,5.08,3.71,0.84,6.5,3.52,14.0,14.48,4.04,1.17,5.0,2.85,13.31,46.05
12.15,3.37,1.95,4.29,2.51,6.34,12.0,4.19,3.23,0.87,6.5,5.51,10.0,13.26,3.79,1.34,4.5,3.49,12.4,67.49
