City,Milk Price
"New York, NY",1.57
"Los Angeles, CA",1.21
"Chicago, IL",1.0
"Houston, TX",0.89
"Phoenix, AZ",0.88
"Philadelphia, PA",1.37
"San Antonio, TX",1.0
"San Diego, CA",1.2
"Dallas, TX",0.93
"San Jose, CA",1.3
"Austin, TX",1.16
"Jacksonville, FL",1.2
"Fort Worth, TX",0.9
"Columbus, OH",0.88
"San Francisco, CA",1.51
"Charlotte, NC",1.08
"Indianapolis, IN",0.8
"Seattle, WA",1.17
"Denver, CO",1.05
"Washington, DC",1.09
"Boston, MA",1.34
"El Paso, TX",0.86
"Nashville, TN",1.06
"Detroit, MI",0.84
"Oklahoma City, OK",1.12
"Portland, OR",1.07
"Las Vegas, NV",0.93
"Memphis, TN",1.0
"Louisville, KY",0.52
"Baltimore, MD",1.08
"Milwaukee, WI",0.83
"Albuquerque, NM",1.02
"Tucson, AZ",0.92
"Fresno, CA",1.01
"Mesa, AZ",0.92
"Sacramento, CA",1.22
"Atlanta, GA",1.08
"Kansas City, MO",1.16
"Colorado Springs, CO",1.14
"Miami, FL",1.17
"Raleigh, NC",0.92
"Omaha, NE",0.9
"Long Beach, CA",1.11
"Virginia Beach, VA",0.87
"Oakland, CA",1.47
"Minneapolis, MN",0.95
"Tulsa, OK",1.12
"Arlington, VA",1.2
"New Orleans, LA",1.31
"Wichita, KS",0.91
"Cleveland, OH",0.77
"Tampa, FL",1.18
"Bakersfield, CA",1.0
"Aurora, IL",0.8
"Honolulu, HI",2.02
"Anaheim, CA",1.22
"Santa Ana, CA",1.18
"Corpus Christi, TX",0.94
"Riverside, CA",1.04
"Saint Louis, MO",0.95
"Lexington, KY",0.77
"Stockton, CA",1.51
"Pittsburgh, PA",1.25
"Saint Paul, MN",0.95
"Cincinnati, OH",0.79
"Anchorage, AK",1.19
"Henderson, NV",1.22
"Greensboro, NC",0.87
"Plano, TX",0.97
"Newark, NJ",1.33
"Lincoln, NE",0.81
"Toledo, OH",0.75
"Chula Vista, CA",1.21
"Orlando, FL",1.14
"Irvine, CA",1.18
"Fort Wayne, IN",0.78
"Jersey City, NJ",1.32
"Durham, NC",0.88
"Chandler, AZ",0.92
"Madison, WI",0.95
"Laredo, TX",1.0
"Buffalo, NY",0.95
"Lubbock, TX",1.03
"Chesapeake, VA",0.9
"Scottsdale, AZ",0.92
"Glendale, CA",1.21
"Reno, NV",1.19
"Norfolk, VA",1.2
"Winston-Salem, NC",0.86
"Gilbert, AZ",0.92
"Chattanooga, TN",1.06
"Hialeah, FL",1.17
"Garland, TX",0.9
"Fremont, CA",1.3
"Richmond, VA",0.91
"Boise, ID",0.89
"San Bernardino, CA",1.03
"Spokane, WA",1.02
"Des Moines, IA",1.0
"Modesto, CA",1.06
"Tacoma, WA",1.12
"Columbus, OH",0.88
"Montgomery, AL",0.93
"Akron, OH",1.12
"Shreveport, LA",1.02
"Little Rock, AR",1.0
"Augusta, GA",0.8
"Glendale, CA",1.21
"Huntington Beach, CA",1.21
"Overland Park, KS",1.0
"Columbia, SC",0.96
"Naperville, IL",0.8
"McKinney, TX",0.88
"Dayton, OH",0.52
"Fort Collins, CO",1.0
"Bellevue, WA",1.07
"O'Fallon, MO",0.94
"Round Rock, TX",1.07
"Bismarck, ND",1.08
"Waterbury, CT",1.13
"Newport News, VA",0.92
"Lakeland, FL",1.13
"Killeen, TX",0.95
"Tempe, AZ",0.92
"Chico, CA",1.32
"Colton, CA",1.19
"Rockford, IL",0.7
"Surprise, AZ",0.92
"Knoxville, TN",0.99
"Sugar Land, TX",0.89
"Huntington, WV",0.52
"Macon, GA",0.85
"Vallejo, CA",1.3
"Waco, TX",0.89
"Fargo, ND",1.18
"Independence, KS",1.19
"Clovis, NM",0.79
"Lynn, MA",0.97
"Lafayette, IN",0.52
"Odessa, TX",1.39
"South Bend, IN",0.8
"League City, TX",1.16
"Denton, TX",0.81
"Pearland, TX",0.71
"Shreveport, LA",1.02
