City,Apples Price
"New York, NY",7.55
"Los Angeles, CA",5.89
"Chicago, IL",5.13
"Houston, TX",4.5
"Phoenix, AZ",4.49
"Philadelphia, PA",6.22
"San Antonio, TX",4.19
"San Diego, CA",5.02
"Dallas, TX",4.79
"San Jose, CA",6.02
"Austin, TX",5.22
"Jacksonville, FL",4.44
"Fort Worth, TX",6.25
"Columbus, OH",6.05
"San Francisco, CA",6.95
"Charlotte, NC",6.43
"Indianapolis, IN",4.4
"Seattle, WA",5.86
"Denver, CO",5.69
"Washington, DC",6.18
"Boston, MA",5.49
"El Paso, TX",4.19
"Nashville, TN",6.34
"Detroit, MI",4.62
"Oklahoma City, OK",4.53
"Portland, OR",5.05
"Las Vegas, NV",4.16
"Memphis, TN",6.32
"Louisville, KY",4.92
"Baltimore, MD",6.42
"Milwaukee, WI",5.76
"Albuquerque, NM",4.93
"Tucson, AZ",4.66
"Fresno, CA",4.29
"Mesa, AZ",4.66
"Sacramento, CA",5.41
"Atlanta, GA",7.51
"Kansas City, MO",4.43
"Colorado Springs, CO",4.48
"Miami, FL",4.69
"Raleigh, NC",6.85
"Omaha, NE",6.26
"Long Beach, CA",4.49
"Virginia Beach, VA",2.47
"Oakland, CA",6.95
"Minneapolis, MN",5.77
"Tulsa, OK",4.27
"Arlington, VA",6.22
"New Orleans, LA",5.56
"Wichita, KS",4.95
"Cleveland, OH",4.38
"Tampa, FL",6.64
"Bakersfield, CA",4.27
"Aurora, IL",4.4
"Honolulu, HI",6.34
"Anaheim, CA",6.39
"Santa Ana, CA",6.39
"Corpus Christi, TX",3.74
"Riverside, CA",4.13
"Saint Louis, MO",6.45
"Lexington, KY",4.74
"Stockton, CA",6.22
"Pittsburgh, PA",6.71
"Saint Paul, MN",5.02
"Cincinnati, OH",4.68
"Anchorage, AK",7.69
"Henderson, NV",4.89
"Greensboro, NC",4.11
"Plano, TX",5.22
"Newark, NJ",4.69
"Lincoln, NE",4.43
"Toledo, OH",3.73
"Chula Vista, CA",5.02
"Orlando, FL",6.14
"Irvine, CA",6.39
"Fort Wayne, IN",5.5
"Jersey City, NJ",5.22
"Durham, NC",5.08
"Chandler, AZ",3.54
"Madison, WI",4.44
"Laredo, TX",4.19
"Buffalo, NY",4.65
"Lubbock, TX",4.96
"Chesapeake, VA",5.05
"Scottsdale, AZ",4.49
"Glendale, CA",5.02
"Reno, NV",6.03
"Norfolk, VA",5.51
"Winston-Salem, NC",6.85
"Gilbert, AZ",4.66
"Chattanooga, TN",6.34
"Hialeah, FL",6.12
"Garland, TX",4.24
"Fremont, CA",6.02
"Richmond, VA",5.08
"Boise, ID",5.26
"San Bernardino, CA",6.72
"Spokane, WA",3.81
"Des Moines, IA",4.43
"Modesto, CA",6.95
"Tacoma, WA",5.18
"Columbus, OH",6.05
"Montgomery, AL",5.22
"Akron, OH",7.65
"Shreveport, LA",3.75
"Little Rock, AR",4.78
"Augusta, GA",4.13
"Glendale, CA",5.02
"Huntington Beach, CA",6.39
"Overland Park, KS",5.3
"Columbia, SC",5.12
"Naperville, IL",4.4
"McKinney, TX",3.31
"Dayton, OH",4.89
"Fort Collins, CO",3.88
"Bellevue, WA",5.14
"O'Fallon, MO",4.43
"Round Rock, TX",4.79
"Bismarck, ND",4.41
"Waterbury, CT",5.22
"Newport News, VA",6.85
"Lakeland, FL",5.57
"Killeen, TX",3.25
"Tempe, AZ",4.66
"Chico, CA",5.51
"Colton, CA",5.51
"Rockford, IL",5.76
"Surprise, AZ",4.66
"Knoxville, TN",6.38
"Sugar Land, TX",4.5
"Huntington, WV",2.2
"Macon, GA",5.12
"Vallejo, CA",4.41
"Waco, TX",3.97
"Fargo, ND",7.84
"Independence, KS",2.76
"Clovis, NM",3.25
"Lynn, MA",4.39
"Lafayette, IN",4.17
"Odessa, TX",5.17
"South Bend, IN",4.41
"League City, TX",4.2
"Denton, TX",4.53
"Pearland, TX",3.31
"Shreveport, LA",3.75
