City,Beef Round Price
"New York, NY",19.52
"Los Angeles, CA",17.94
"Chicago, IL",18.65
"Houston, TX",17.59
"Phoenix, AZ",13.0
"Philadelphia, PA",20.78
"San Antonio, TX",14.77
"San Diego, CA",18.32
"Dallas, TX",17.2
"San Jose, CA",19.8
"Austin, TX",14.44
"Jacksonville, FL",14.35
"Fort Worth, TX",19.5
"Columbus, OH",15.42
"San Francisco, CA",23.03
"Charlotte, NC",16.96
"Indianapolis, IN",14.94
"Seattle, WA",21.07
"Denver, CO",17.73
"Washington, DC",18.99
"Boston, MA",20.33
"El Paso, TX",13.26
"Nashville, TN",15.72
"Detroit, MI",20.57
"Oklahoma City, OK",11.44
"Portland, OR",15.76
"Las Vegas, NV",16.62
"Memphis, TN",15.43
"Louisville, KY",13.71
"Baltimore, MD",15.04
"Milwaukee, WI",15.08
"Albuquerque, NM",19.0
"Tucson, AZ",15.1
"Fresno, CA",16.98
"Mesa, AZ",15.1
"Sacramento, CA",19.35
"Atlanta, GA",17.11
"Kansas City, MO",13.48
"Colorado Springs, CO",19.05
"Miami, FL",19.02
"Raleigh, NC",17.97
"Omaha, NE",15.6
"Long Beach, CA",15.47
"Virginia Beach, VA",15.88
"Oakland, CA",20.19
"Minneapolis, MN",17.13
"Tulsa, OK",14.73
"Arlington, VA",20.78
"New Orleans, LA",14.84
"Wichita, KS",17.31
"Cleveland, OH",20.64
"Tampa, FL",17.01
"Bakersfield, CA",16.5
"Aurora, IL",13.95
"Honolulu, HI",20.0
"Anaheim, CA",14.54
"Santa Ana, CA",14.54
"Corpus Christi, TX",12.78
"Riverside, CA",14.51
"Saint Louis, MO",15.24
"Lexington, KY",17.25
"Stockton, CA",23.03
"Pittsburgh, PA",19.97
"Saint Paul, MN",14.33
"Cincinnati, OH",15.42
"Anchorage, AK",20.7
"Henderson, NV",14.32
"Greensboro, NC",19.04
"Plano, TX",17.2
"Newark, NJ",15.41
"Lincoln, NE",13.48
"Toledo, OH",14.15
"Chula Vista, CA",17.94
"Orlando, FL",16.15
"Irvine, CA",14.54
"Fort Wayne, IN",15.42
"Jersey City, NJ",17.25
"Durham, NC",14.48
"Chandler, AZ",15.1
"Madison, WI",16.48
"Laredo, TX",13.78
"Buffalo, NY",12.95
"Lubbock, TX",18.92
"Chesapeake, VA",16.5
"Scottsdale, AZ",15.1
"Glendale, CA",17.94
"Reno, NV",22.54
"Norfolk, VA",22.79
"Winston-Salem, NC",17.97
"Gilbert, AZ",12.4
"Chattanooga, TN",14.26
"Hialeah, FL",19.02
"Garland, TX",11.3
"Fremont, CA",20.19
"Richmond, VA",14.48
"Boise, ID",13.23
"San Bernardino, CA",29.39
"Spokane, WA",16.2
"Des Moines, IA",13.48
"Modesto, CA",22.05
"Tacoma, WA",19.17
"Columbus, OH",15.42
"Montgomery, AL",14.47
"Akron, OH",14.11
"Shreveport, LA",16.16
"Little Rock, AR",16.16
"Augusta, GA",13.77
"Glendale, CA",17.94
"Huntington Beach, CA",15.41
"Overland Park, KS",13.48
"Columbia, SC",19.04
"Naperville, IL",11.38
"McKinney, TX",11.44
"Dayton, OH",13.71
"Fort Collins, CO",17.63
"Bellevue, WA",15.76
"O'Fallon, MO",13.12
"Round Rock, TX",14.44
"Bismarck, ND",18.72
"Waterbury, CT",17.25
"Newport News, VA",17.97
"Lakeland, FL",22.63
"Killeen, TX",12.33
"Tempe, AZ",15.1
"Chico, CA",16.89
"Colton, CA",17.94
"Rockford, IL",15.08
"Surprise, AZ",15.1
"Knoxville, TN",15.77
"Sugar Land, TX",17.59
"Huntington, WV",13.71
"Macon, GA",19.04
"Vallejo, CA",14.33
"Waco, TX",11.78
"Fargo, ND",18.19
"Independence, KS",17.64
"Clovis, NM",
"Lynn, MA",11.0
"Lafayette, IN",15.79
"Odessa, TX",29.76
"South Bend, IN",9.63
"League City, TX",12.89
"Denton, TX",11.0
"Pearland, TX",13.23
"Shreveport, LA",16.16
