City,Cigarettes 20 Pack Price
"New York, NY",18.0
"Los Angeles, CA",12.0
"Chicago, IL",15.0
"Houston, TX",10.0
"Phoenix, AZ",10.79
"Philadelphia, PA",12.88
"San Antonio, TX",9.0
"San Diego, CA",11.6
"Dallas, TX",10.0
"San Jose, CA",11.25
"Austin, TX",9.0
"Jacksonville, FL",7.46
"Fort Worth, TX",9.0
"Columbus, OH",9.59
"San Francisco, CA",14.0
"Charlotte, NC",9.0
"Indianapolis, IN",8.72
"Seattle, WA",11.0
"Denver, CO",10.0
"Washington, DC",11.0
"Boston, MA",13.33
"El Paso, TX",12.0
"Nashville, TN",7.75
"Detroit, MI",10.0
"Oklahoma City, OK",10.97
"Portland, OR",11.0
"Las Vegas, NV",9.0
"Memphis, TN",8.0
"Louisville, KY",8.75
"Baltimore, MD",12.5
"Milwaukee, WI",10.0
"Albuquerque, NM",9.99
"Tucson, AZ",9.22
"Fresno, CA",11.12
"Mesa, AZ",9.22
"Sacramento, CA",11.5
"Atlanta, GA",8.0
"Kansas City, MO",7.14
"Colorado Springs, CO",10.0
"Miami, FL",10.8
"Raleigh, NC",7.5
"Omaha, NE",9.43
"Long Beach, CA",11.0
"Virginia Beach, VA",9.0
"Oakland, CA",11.0
"Minneapolis, MN",11.99
"Tulsa, OK",9.43
"Arlington, VA",12.0
"New Orleans, LA",8.75
"Wichita, KS",8.7
"Cleveland, OH",9.0
"Tampa, FL",8.0
"Bakersfield, CA",10.5
"Aurora, IL",8.5
"Honolulu, HI",12.0
"Anaheim, CA",10.5
"Santa Ana, CA",10.91
"Corpus Christi, TX",9.0
"Riverside, CA",11.0
"Saint Louis, MO",7.0
"Lexington, KY",7.95
"Stockton, CA",12.47
"Pittsburgh, PA",11.34
"Saint Paul, MN",10.5
"Cincinnati, OH",9.0
"Anchorage, AK",11.0
"Henderson, NV",9.0
"Greensboro, NC",7.52
"Plano, TX",10.0
"Newark, NJ",14.25
"Lincoln, NE",7.14
"Toledo, OH",9.89
"Chula Vista, CA",11.6
"Orlando, FL",8.5
"Irvine, CA",9.63
"Fort Wayne, IN",8.26
"Jersey City, NJ",11.98
"Durham, NC",9.0
"Chandler, AZ",9.22
"Madison, WI",10.0
"Laredo, TX",9.0
"Buffalo, NY",13.97
"Lubbock, TX",8.0
"Chesapeake, VA",10.72
"Scottsdale, AZ",9.22
"Glendale, CA",11.6
"Reno, NV",9.68
"Norfolk, VA",9.0
"Winston-Salem, NC",6.0
"Gilbert, AZ",9.22
"Chattanooga, TN",7.75
"Hialeah, FL",6.75
"Garland, TX",10.97
"Fremont, CA",11.25
"Richmond, VA",9.0
"Boise, ID",8.5
"San Bernardino, CA",12.95
"Spokane, WA",11.49
"Des Moines, IA",7.14
"Modesto, CA",14.0
"Tacoma, WA",11.0
"Columbus, OH",9.59
"Montgomery, AL",7.0
"Akron, OH",10.75
"Shreveport, LA",8.5
"Little Rock, AR",8.5
"Augusta, GA",8.0
"Glendale, CA",11.6
"Huntington Beach, CA",9.5
"Overland Park, KS",7.14
"Columbia, SC",8.0
"Naperville, IL",8.72
"McKinney, TX",10.97
"Dayton, OH",8.75
"Fort Collins, CO",9.5
"Bellevue, WA",11.0
"O'Fallon, MO",6.08
"Round Rock, TX",9.0
"Bismarck, ND",8.25
"Waterbury, CT",10.5
"Newport News, VA",7.5
"Lakeland, FL",7.78
"Killeen, TX",6.0
"Tempe, AZ",10.49
"Chico, CA",8.0
"Colton, CA",11.0
"Rockford, IL",10.0
"Surprise, AZ",10.79
"Knoxville, TN",8.69
"Sugar Land, TX",9.0
"Huntington, WV",8.75
"Macon, GA",8.0
"Vallejo, CA",10.0
"Waco, TX",8.0
"Fargo, ND",10.0
"Lynn, MA",12.0
"Lafayette, IN",8.0
"Odessa, TX",10.0
"South Bend, IN",6.42
"League City, TX",6.0
"Denton, TX",10.97
"Pearland, TX",8.12
"Shreveport, LA",8.5
