City,Domestic Beer Price
"New York, NY",8.5
"Los Angeles, CA",9.0
"Chicago, IL",7.0
"Houston, TX",6.0
"Phoenix, AZ",6.0
"Philadelphia, PA",6.0
"San Antonio, TX",5.5
"San Diego, CA",8.0
"Dallas, TX",7.0
"San Jose, CA",9.0
"Austin, TX",6.0
"Jacksonville, FL",5.0
"Fort Worth, TX",5.0
"Columbus, OH",5.5
"San Francisco, CA",8.0
"Charlotte, NC",6.0
"Indianapolis, IN",6.0
"Seattle, WA",8.0
"Denver, CO",7.5
"Washington, DC",8.0
"Boston, MA",8.0
"El Paso, TX",4.5
"Nashville, TN",7.0
"Detroit, MI",6.0
"Oklahoma City, OK",6.0
"Portland, OR",7.0
"Las Vegas, NV",6.0
"Memphis, TN",6.0
"Louisville, KY",5.5
"Baltimore, MD",6.0
"Milwaukee, WI",4.5
"Albuquerque, NM",6.0
"Tucson, AZ",6.0
"Fresno, CA",7.5
"Mesa, AZ",6.0
"Sacramento, CA",7.5
"Atlanta, GA",6.0
"Kansas City, MO",6.0
"Colorado Springs, CO",6.0
"Miami, FL",8.0
"Raleigh, NC",5.75
"Omaha, NE",5.0
"Long Beach, CA",7.0
"Virginia Beach, VA",5.5
"Oakland, CA",8.0
"Minneapolis, MN",6.0
"Tulsa, OK",4.25
"Arlington, VA",8.0
"New Orleans, LA",6.0
"Wichita, KS",5.0
"Cleveland, OH",4.5
"Tampa, FL",6.5
"Bakersfield, CA",5.5
"Aurora, IL",5.0
"Honolulu, HI",8.0
"Anaheim, CA",8.0
"Santa Ana, CA",8.0
"Corpus Christi, TX",5.5
"Riverside, CA",7.0
"Saint Louis, MO",5.2
"Lexington, KY",4.75
"Stockton, CA",6.5
"Pittsburgh, PA",5.0
"Saint Paul, MN",6.0
"Cincinnati, OH",5.0
"Anchorage, AK",8.0
"Henderson, NV",7.0
"Greensboro, NC",5.0
"Plano, TX",6.0
"Newark, NJ",5.0
"Lincoln, NE",5.0
"Toledo, OH",5.0
"Chula Vista, CA",8.0
"Orlando, FL",6.0
"Irvine, CA",8.0
"Fort Wayne, IN",4.0
"Jersey City, NJ",6.5
"Durham, NC",5.0
"Chandler, AZ",6.0
"Madison, WI",6.0
"Laredo, TX",4.0
"Buffalo, NY",5.5
"Lubbock, TX",6.0
"Chesapeake, VA",6.0
"Scottsdale, AZ",6.0
"Glendale, CA",8.0
"Reno, NV",5.0
"Norfolk, VA",8.0
"Winston-Salem, NC",5.75
"Gilbert, AZ",6.0
"Chattanooga, TN",6.5
"Hialeah, FL",6.5
"Garland, TX",6.0
"Fremont, CA",6.0
"Richmond, VA",5.0
"Boise, ID",6.5
"San Bernardino, CA",7.0
"Spokane, WA",5.75
"Des Moines, IA",5.0
"Modesto, CA",5.5
"Tacoma, WA",6.0
"Columbus, OH",5.5
"Montgomery, AL",4.25
"Akron, OH",5.0
"Shreveport, LA",5.0
"Little Rock, AR",5.0
"Augusta, GA",4.62
"Glendale, CA",8.0
"Huntington Beach, CA",8.0
"Overland Park, KS",6.0
"Columbia, SC",4.0
"Naperville, IL",6.0
"McKinney, TX",5.0
"Dayton, OH",5.5
"Fort Collins, CO",6.0
"Bellevue, WA",8.0
"O'Fallon, MO",2.5
"Round Rock, TX",7.0
"Bismarck, ND",5.5
"Waterbury, CT",6.5
"Newport News, VA",5.0
"Lakeland, FL",5.5
"Killeen, TX",4.25
"Tempe, AZ",6.0
"Chico, CA",8.0
"Colton, CA",9.0
"Rockford, IL",4.0
"Surprise, AZ",6.0
"Knoxville, TN",5.0
"Sugar Land, TX",6.0
"Huntington, WV",5.25
"Macon, GA",4.0
"Vallejo, CA",7.5
"Waco, TX",6.0
"Fargo, ND",5.45
"Independence, KS",5.0
"Clovis, NM",4.0
"Lynn, MA",8.0
"Lafayette, IN",5.5
"Odessa, TX",5.25
"South Bend, IN",4.5
"League City, TX",4.0
"Denton, TX",5.75
"Pearland, TX",4.5
"Shreveport, LA",5.0
