City,Eggs Price
"New York, NY",5.89
"Los Angeles, CA",6.05
"Chicago, IL",4.32
"Houston, TX",3.66
"Phoenix, AZ",4.38
"Philadelphia, PA",4.31
"San Antonio, TX",3.67
"San Diego, CA",4.96
"Dallas, TX",3.71
"San Jose, CA",5.0
"Austin, TX",4.1
"Jacksonville, FL",4.52
"Fort Worth, TX",3.24
"Columbus, OH",2.88
"San Francisco, CA",5.74
"Charlotte, NC",4.39
"Indianapolis, IN",3.08
"Seattle, WA",5.41
"Denver, CO",4.54
"Washington, DC",3.88
"Boston, MA",4.43
"El Paso, TX",3.79
"Nashville, TN",3.58
"Detroit, MI",3.52
"Oklahoma City, OK",4.5
"Portland, OR",4.36
"Las Vegas, NV",3.75
"Memphis, TN",4.12
"Louisville, KY",2.99
"Baltimore, MD",4.41
"Milwaukee, WI",3.59
"Albuquerque, NM",4.34
"Tucson, AZ",4.19
"Fresno, CA",3.72
"Mesa, AZ",4.38
"Sacramento, CA",4.52
"Atlanta, GA",3.9
"Kansas City, MO",3.55
"Colorado Springs, CO",5.48
"Miami, FL",4.53
"Raleigh, NC",4.45
"Omaha, NE",3.37
"Long Beach, CA",3.58
"Virginia Beach, VA",3.66
"Oakland, CA",5.74
"Minneapolis, MN",3.91
"Tulsa, OK",3.11
"Arlington, VA",4.31
"New Orleans, LA",4.2
"Wichita, KS",3.83
"Cleveland, OH",3.67
"Tampa, FL",4.49
"Bakersfield, CA",2.95
"Aurora, IL",3.0
"Honolulu, HI",7.25
"Anaheim, CA",4.52
"Santa Ana, CA",4.43
"Corpus Christi, TX",4.1
"Riverside, CA",5.45
"Saint Louis, MO",2.58
"Lexington, KY",2.57
"Stockton, CA",5.74
"Pittsburgh, PA",4.19
"Saint Paul, MN",3.24
"Cincinnati, OH",3.02
"Anchorage, AK",3.39
"Henderson, NV",3.33
"Greensboro, NC",3.46
"Plano, TX",4.1
"Newark, NJ",5.42
"Lincoln, NE",3.55
"Toledo, OH",2.5
"Chula Vista, CA",4.96
"Orlando, FL",4.43
"Irvine, CA",4.43
"Fort Wayne, IN",2.88
"Jersey City, NJ",4.43
"Durham, NC",4.04
"Chandler, AZ",4.19
"Madison, WI",3.82
"Laredo, TX",3.62
"Buffalo, NY",3.63
"Lubbock, TX",3.49
"Chesapeake, VA",3.36
"Scottsdale, AZ",4.19
"Glendale, CA",4.96
"Reno, NV",4.63
"Norfolk, VA",4.31
"Winston-Salem, NC",4.45
"Gilbert, AZ",3.76
"Chattanooga, TN",3.58
"Hialeah, FL",4.53
"Garland, TX",3.89
"Fremont, CA",5.3
"Richmond, VA",4.04
"Boise, ID",3.65
"San Bernardino, CA",5.45
"Spokane, WA",4.06
"Des Moines, IA",3.55
"Modesto, CA",5.5
"Tacoma, WA",4.65
"Columbus, OH",2.88
"Montgomery, AL",3.6
"Akron, OH",2.7
"Shreveport, LA",2.87
"Little Rock, AR",2.87
"Augusta, GA",3.23
"Glendale, CA",4.96
"Huntington Beach, CA",5.0
"Overland Park, KS",3.68
"Columbia, SC",3.46
"Naperville, IL",3.08
"McKinney, TX",4.5
"Dayton, OH",2.99
"Fort Collins, CO",3.82
"Bellevue, WA",4.4
"O'Fallon, MO",3.0
"Round Rock, TX",3.71
"Bismarck, ND",2.7
"Waterbury, CT",5.19
"Newport News, VA",2.3
"Lakeland, FL",4.55
"Killeen, TX",3.67
"Tempe, AZ",4.38
"Chico, CA",4.75
"Colton, CA",4.5
"Rockford, IL",1.69
"Surprise, AZ",4.38
"Knoxville, TN",3.39
"Sugar Land, TX",3.67
"Huntington, WV",2.99
"Macon, GA",3.5
"Vallejo, CA",5.14
"Waco, TX",3.14
"Fargo, ND",3.75
"Independence, KS",3.0
"Clovis, NM",4.53
"Lynn, MA",4.43
"Lafayette, IN",3.12
"Odessa, TX",3.25
"South Bend, IN",2.97
"League City, TX",3.09
"Denton, TX",3.5
"Pearland, TX",2.5
"Shreveport, LA",2.87
