City,Imported Beer Price
"New York, NY",12.0
"Los Angeles, CA",10.0
"Chicago, IL",8.12
"Houston, TX",7.0
"Phoenix, AZ",7.0
"Philadelphia, PA",7.0
"San Antonio, TX",6.0
"San Diego, CA",9.0
"Dallas, TX",7.0
"San Jose, CA",10.5
"Austin, TX",7.5
"Jacksonville, FL",6.0
"Fort Worth, TX",5.75
"Columbus, OH",7.5
"San Francisco, CA",9.0
"Charlotte, NC",7.9
"Indianapolis, IN",8.0
"Seattle, WA",8.0
"Denver, CO",8.0
"Washington, DC",10.0
"Boston, MA",9.0
"El Paso, TX",6.5
"Nashville, TN",8.5
"Detroit, MI",7.0
"Oklahoma City, OK",6.0
"Portland, OR",6.0
"Las Vegas, NV",8.0
"Memphis, TN",8.0
"Louisville, KY",8.0
"Baltimore, MD",7.5
"Milwaukee, WI",7.0
"Albuquerque, NM",7.0
"Tucson, AZ",7.0
"Fresno, CA",9.0
"Mesa, AZ",7.0
"Sacramento, CA",8.0
"Atlanta, GA",8.0
"Kansas City, MO",7.0
"Colorado Springs, CO",7.0
"Miami, FL",9.0
"Raleigh, NC",6.0
"Omaha, NE",6.0
"Long Beach, CA",8.0
"Virginia Beach, VA",6.5
"Oakland, CA",8.0
"Minneapolis, MN",7.0
"Tulsa, OK",5.0
"Arlington, VA",9.0
"New Orleans, LA",8.0
"Wichita, KS",6.0
"Cleveland, OH",6.5
"Tampa, FL",8.0
"Bakersfield, CA",5.0
"Aurora, IL",7.0
"Honolulu, HI",9.0
"Anaheim, CA",8.85
"Santa Ana, CA",8.85
"Corpus Christi, TX",7.5
"Riverside, CA",7.0
"Saint Louis, MO",6.0
"Lexington, KY",8.0
"Stockton, CA",6.0
"Pittsburgh, PA",7.5
"Saint Paul, MN",7.0
"Cincinnati, OH",7.0
"Anchorage, AK",7.5
"Henderson, NV",8.0
"Greensboro, NC",5.0
"Plano, TX",7.5
"Newark, NJ",6.0
"Lincoln, NE",6.0
"Toledo, OH",5.0
"Chula Vista, CA",9.0
"Orlando, FL",7.0
"Irvine, CA",8.85
"Fort Wayne, IN",6.0
"Jersey City, NJ",9.0
"Durham, NC",6.5
"Chandler, AZ",7.0
"Madison, WI",7.0
"Laredo, TX",6.0
"Buffalo, NY",7.0
"Lubbock, TX",7.0
"Chesapeake, VA",6.5
"Scottsdale, AZ",7.0
"Glendale, CA",9.0
"Reno, NV",6.5
"Norfolk, VA",8.0
"Winston-Salem, NC",6.0
"Gilbert, AZ",6.2
"Chattanooga, TN",7.5
"Hialeah, FL",7.0
"Garland, TX",6.0
"Fremont, CA",8.5
"Richmond, VA",8.0
"Boise, ID",6.5
"San Bernardino, CA",8.0
"Spokane, WA",6.0
"Des Moines, IA",7.0
"Modesto, CA",7.0
"Tacoma, WA",8.0
"Columbus, OH",7.5
"Montgomery, AL",3.75
"Akron, OH",5.0
"Shreveport, LA",4.5
"Little Rock, AR",6.0
"Augusta, GA",6.0
"Glendale, CA",9.0
"Huntington Beach, CA",8.85
"Overland Park, KS",7.0
"Columbia, SC",5.0
"Naperville, IL",8.0
"McKinney, TX",6.0
"Dayton, OH",8.0
"Fort Collins, CO",6.5
"Bellevue, WA",8.0
"O'Fallon, MO",3.5
"Round Rock, TX",7.5
"Bismarck, ND",7.8
"Waterbury, CT",9.0
"Newport News, VA",6.0
"Lakeland, FL",4.0
"Killeen, TX",3.75
"Tempe, AZ",7.0
"Chico, CA",9.0
"Colton, CA",10.0
"Rockford, IL",6.0
"Surprise, AZ",7.0
"Knoxville, TN",6.25
"Sugar Land, TX",7.0
"Huntington, WV",4.5
"Macon, GA",5.0
"Vallejo, CA",8.5
"Waco, TX",5.0
"Fargo, ND",7.45
"Independence, KS",6.0
"Clovis, NM",7.0
"Lynn, MA",9.0
"Lafayette, IN",7.5
"Odessa, TX",5.5
"South Bend, IN",7.0
"League City, TX",6.5
"Denton, TX",6.0
"Pearland, TX",6.5
"Shreveport, LA",4.5
