City,Local Cheese Price
"New York, NY",17.44
"Los Angeles, CA",13.01
"Chicago, IL",14.47
"Houston, TX",12.52
"Phoenix, AZ",11.99
"Philadelphia, PA",16.52
"San Antonio, TX",10.72
"San Diego, CA",13.89
"Dallas, TX",13.16
"San Jose, CA",19.47
"Austin, TX",12.48
"Jacksonville, FL",13.87
"Fort Worth, TX",9.79
"Columbus, OH",13.08
"San Francisco, CA",23.95
"Charlotte, NC",15.4
"Indianapolis, IN",9.35
"Seattle, WA",21.15
"Denver, CO",14.15
"Washington, DC",15.21
"Boston, MA",16.93
"El Paso, TX",12.15
"Nashville, TN",12.26
"Detroit, MI",12.3
"Oklahoma City, OK",11.53
"Portland, OR",14.59
"Las Vegas, NV",12.57
"Memphis, TN",10.69
"Louisville, KY",15.64
"Baltimore, MD",13.42
"Milwaukee, WI",10.38
"Albuquerque, NM",13.25
"Tucson, AZ",10.99
"Fresno, CA",10.23
"Mesa, AZ",11.99
"Sacramento, CA",16.1
"Atlanta, GA",13.74
"Kansas City, MO",12.56
"Colorado Springs, CO",14.09
"Miami, FL",14.67
"Raleigh, NC",13.73
"Omaha, NE",11.6
"Long Beach, CA",14.41
"Virginia Beach, VA",11.57
"Oakland, CA",20.69
"Minneapolis, MN",11.36
"Tulsa, OK",10.84
"Arlington, VA",16.52
"New Orleans, LA",15.87
"Wichita, KS",9.87
"Cleveland, OH",9.75
"Tampa, FL",16.13
"Bakersfield, CA",12.49
"Aurora, IL",7.12
"Honolulu, HI",28.33
"Anaheim, CA",15.43
"Santa Ana, CA",14.9
"Corpus Christi, TX",9.37
"Riverside, CA",10.64
"Saint Louis, MO",13.88
"Lexington, KY",13.73
"Stockton, CA",9.55
"Pittsburgh, PA",15.33
"Saint Paul, MN",9.37
"Cincinnati, OH",10.35
"Anchorage, AK",12.34
"Henderson, NV",10.45
"Greensboro, NC",9.55
"Plano, TX",13.16
"Newark, NJ",14.03
"Lincoln, NE",10.8
"Toledo, OH",11.56
"Chula Vista, CA",13.01
"Orlando, FL",11.25
"Irvine, CA",12.45
"Fort Wayne, IN",13.08
"Jersey City, NJ",16.93
"Durham, NC",9.16
"Chandler, AZ",10.99
"Madison, WI",14.95
"Laredo, TX",8.82
"Buffalo, NY",13.34
"Lubbock, TX",19.97
"Chesapeake, VA",14.32
"Scottsdale, AZ",11.38
"Glendale, CA",13.01
"Reno, NV",12.42
"Norfolk, VA",17.64
"Winston-Salem, NC",13.73
"Gilbert, AZ",10.99
"Chattanooga, TN",11.52
"Hialeah, FL",14.67
"Garland, TX",7.99
"Fremont, CA",17.64
"Richmond, VA",9.16
"Boise, ID",12.86
"San Bernardino, CA",8.8
"Spokane, WA",15.43
"Des Moines, IA",12.56
"Modesto, CA",12.13
"Tacoma, WA",11.53
"Columbus, OH",13.08
"Montgomery, AL",7.16
"Akron, OH",15.98
"Shreveport, LA",9.92
"Little Rock, AR",9.92
"Augusta, GA",8.46
"Glendale, CA",13.01
"Huntington Beach, CA",18.36
"Overland Park, KS",11.02
"Columbia, SC",9.55
"Naperville, IL",7.72
"McKinney, TX",9.92
"Dayton, OH",9.89
"Fort Collins, CO",11.02
"Bellevue, WA",14.87
"O'Fallon, MO",7.17
"Round Rock, TX",12.48
"Bismarck, ND",7.72
"Waterbury, CT",19.83
"Newport News, VA",9.55
"Lakeland, FL",12.13
"Killeen, TX",10.13
"Tempe, AZ",10.99
"Chico, CA",11.02
"Colton, CA",11.02
"Rockford, IL",7.93
"Surprise, AZ",11.99
"Knoxville, TN",10.02
"Sugar Land, TX",12.52
"Huntington, WV",7.39
"Macon, GA",6.06
"Vallejo, CA",16.48
"Waco, TX",12.52
"Fargo, ND",11.71
"Independence, KS",11.02
"Lynn, MA",8.8
"Lafayette, IN",9.89
"Odessa, TX",14.87
"South Bend, IN",10.38
"League City, TX",9.92
"Denton, TX",11.53
"Pearland, TX",13.23
"Shreveport, LA",9.92
