City,Milk Price
"New York, NY",1.54
"Los Angeles, CA",1.22
"Chicago, IL",1.0
"Houston, TX",0.91
"Phoenix, AZ",0.9
"Philadelphia, PA",1.38
"San Antonio, TX",0.99
"San Diego, CA",1.23
"Dallas, TX",0.93
"San Jose, CA",1.34
"Austin, TX",1.16
"Jacksonville, FL",1.18
"Fort Worth, TX",0.9
"Columbus, OH",0.86
"San Francisco, CA",1.48
"Charlotte, NC",1.01
"Indianapolis, IN",0.8
"Seattle, WA",1.24
"Denver, CO",1.05
"Washington, DC",1.08
"Boston, MA",1.3
"El Paso, TX",0.87
"Nashville, TN",1.1
"Detroit, MI",0.87
"Oklahoma City, OK",1.11
"Portland, OR",1.07
"Las Vegas, NV",0.96
"Memphis, TN",1.0
"Louisville, KY",0.53
"Baltimore, MD",1.06
"Milwaukee, WI",0.81
"Albuquerque, NM",1.02
"Tucson, AZ",0.87
"Fresno, CA",1.02
"Mesa, AZ",0.9
"Sacramento, CA",1.21
"Atlanta, GA",1.07
"Kansas City, MO",1.15
"Colorado Springs, CO",1.16
"Miami, FL",1.17
"Raleigh, NC",0.9
"Omaha, NE",0.93
"Long Beach, CA",1.11
"Virginia Beach, VA",0.87
"Oakland, CA",1.44
"Minneapolis, MN",0.98
"Tulsa, OK",1.12
"Arlington, VA",1.25
"New Orleans, LA",1.35
"Wichita, KS",0.92
"Cleveland, OH",0.8
"Tampa, FL",1.2
"Bakersfield, CA",1.0
"Aurora, IL",0.8
"Honolulu, HI",2.05
"Anaheim, CA",1.22
"Santa Ana, CA",1.18
"Corpus Christi, TX",0.94
"Riverside, CA",1.08
"Saint Louis, MO",0.93
"Lexington, KY",0.75
"Stockton, CA",1.44
"Pittsburgh, PA",1.28
"Saint Paul, MN",0.98
"Cincinnati, OH",0.8
"Anchorage, AK",1.2
"Henderson, NV",1.22
"Greensboro, NC",0.96
"Plano, TX",0.99
"Newark, NJ",1.33
"Lincoln, NE",0.87
"Toledo, OH",0.75
"Chula Vista, CA",1.23
"Orlando, FL",1.14
"Irvine, CA",1.18
"Fort Wayne, IN",0.82
"Jersey City, NJ",1.29
"Durham, NC",0.84
"Chandler, AZ",0.87
"Madison, WI",0.93
"Laredo, TX",0.99
"Buffalo, NY",0.91
"Lubbock, TX",1.03
"Chesapeake, VA",0.9
"Scottsdale, AZ",0.9
"Glendale, CA",1.23
"Reno, NV",1.15
"Norfolk, VA",1.24
"Winston-Salem, NC",0.9
"Gilbert, AZ",0.87
"Chattanooga, TN",1.1
"Hialeah, FL",1.17
"Garland, TX",0.9
"Fremont, CA",1.34
"Richmond, VA",0.89
"Boise, ID",0.9
"San Bernardino, CA",1.03
"Spokane, WA",1.05
"Des Moines, IA",1.0
"Modesto, CA",1.06
"Tacoma, WA",1.16
"Columbus, OH",0.86
"Montgomery, AL",0.93
"Akron, OH",1.12
"Shreveport, LA",1.05
"Little Rock, AR",1.05
"Augusta, GA",0.8
"Glendale, CA",1.23
"Huntington Beach, CA",1.21
"Overland Park, KS",1.0
"Columbia, SC",0.96
"Naperville, IL",0.8
"McKinney, TX",0.88
"Dayton, OH",0.53
"Fort Collins, CO",1.03
"Bellevue, WA",1.07
"O'Fallon, MO",0.94
"Round Rock, TX",1.07
"Bismarck, ND",1.08
"Waterbury, CT",1.28
"Newport News, VA",0.9
"Lakeland, FL",1.13
"Killeen, TX",0.95
"Tempe, AZ",0.9
"Chico, CA",1.32
"Colton, CA",1.19
"Rockford, IL",0.7
"Surprise, AZ",0.9
"Knoxville, TN",1.01
"Sugar Land, TX",0.91
"Huntington, WV",0.53
"Macon, GA",0.85
"Vallejo, CA",1.19
"Waco, TX",0.91
"Fargo, ND",1.22
"Independence, KS",1.19
"Clovis, NM",0.79
"Lynn, MA",0.97
"Lafayette, IN",0.8
"Odessa, TX",1.39
"South Bend, IN",0.8
"League City, TX",1.16
"Denton, TX",0.81
"Pearland, TX",0.82
"Shreveport, LA",1.05
