City,Oranges Price
"New York, NY",5.44
"Los Angeles, CA",4.16
"Chicago, IL",4.22
"Houston, TX",3.97
"Phoenix, AZ",3.93
"Philadelphia, PA",5.11
"San Antonio, TX",4.28
"San Diego, CA",4.17
"Dallas, TX",4.43
"San Jose, CA",3.74
"Austin, TX",4.43
"Jacksonville, FL",3.57
"Fort Worth, TX",5.56
"Columbus, OH",5.65
"San Francisco, CA",5.29
"Charlotte, NC",7.77
"Indianapolis, IN",5.96
"Seattle, WA",5.47
"Denver, CO",5.07
"Washington, DC",5.2
"Boston, MA",6.64
"El Paso, TX",6.34
"Nashville, TN",6.33
"Detroit, MI",5.34
"Oklahoma City, OK",4.25
"Portland, OR",4.6
"Las Vegas, NV",3.38
"Memphis, TN",5.34
"Louisville, KY",4.14
"Baltimore, MD",7.08
"Milwaukee, WI",5.51
"Albuquerque, NM",4.32
"Tucson, AZ",3.71
"Fresno, CA",3.56
"Mesa, AZ",3.93
"Sacramento, CA",4.07
"Atlanta, GA",7.24
"Kansas City, MO",5.11
"Colorado Springs, CO",3.5
"Miami, FL",3.02
"Raleigh, NC",6.19
"Omaha, NE",5.96
"Long Beach, CA",5.19
"Virginia Beach, VA",2.78
"Oakland, CA",5.29
"Minneapolis, MN",6.5
"Tulsa, OK",3.68
"Arlington, VA",5.11
"New Orleans, LA",4.37
"Wichita, KS",4.1
"Cleveland, OH",3.19
"Tampa, FL",5.16
"Bakersfield, CA",4.64
"Aurora, IL",3.81
"Honolulu, HI",5.78
"Anaheim, CA",3.86
"Santa Ana, CA",3.86
"Corpus Christi, TX",2.98
"Riverside, CA",4.07
"Saint Louis, MO",4.45
"Lexington, KY",3.4
"Stockton, CA",2.93
"Pittsburgh, PA",6.64
"Saint Paul, MN",5.78
"Cincinnati, OH",3.15
"Anchorage, AK",6.05
"Henderson, NV",13.0
"Greensboro, NC",4.96
"Plano, TX",4.43
"Newark, NJ",4.72
"Lincoln, NE",4.24
"Toledo, OH",3.33
"Chula Vista, CA",4.16
"Orlando, FL",6.31
"Irvine, CA",3.86
"Fort Wayne, IN",5.49
"Jersey City, NJ",4.79
"Durham, NC",3.8
"Chandler, AZ",3.16
"Madison, WI",5.18
"Laredo, TX",4.28
"Buffalo, NY",5.12
"Lubbock, TX",3.17
"Chesapeake, VA",7.17
"Scottsdale, AZ",3.71
"Glendale, CA",4.16
"Reno, NV",3.34
"Norfolk, VA",5.39
"Winston-Salem, NC",6.19
"Gilbert, AZ",3.71
"Chattanooga, TN",5.7
"Hialeah, FL",5.5
"Garland, TX",4.25
"Fremont, CA",3.74
"Richmond, VA",3.8
"Boise, ID",3.71
"San Bernardino, CA",5.67
"Spokane, WA",4.31
"Des Moines, IA",3.66
"Modesto, CA",5.29
"Tacoma, WA",5.1
"Columbus, OH",5.65
"Montgomery, AL",2.2
"Akron, OH",9.37
"Shreveport, LA",2.62
"Little Rock, AR",2.62
"Augusta, GA",3.86
"Glendale, CA",4.16
"Huntington Beach, CA",3.86
"Overland Park, KS",4.24
"Columbia, SC",5.16
"Naperville, IL",2.99
"McKinney, TX",3.31
"Dayton, OH",4.14
"Fort Collins, CO",3.5
"Bellevue, WA",4.77
"O'Fallon, MO",5.11
"Round Rock, TX",4.43
"Bismarck, ND",3.31
"Waterbury, CT",4.79
"Newport News, VA",5.86
"Lakeland, FL",3.67
"Killeen, TX",3.86
"Tempe, AZ",3.93
"Chico, CA",3.86
"Colton, CA",4.16
"Rockford, IL",5.51
"Surprise, AZ",3.71
"Knoxville, TN",2.63
"Sugar Land, TX",4.28
"Huntington, WV",4.14
"Macon, GA",5.0
"Vallejo, CA",5.29
"Waco, TX",3.97
"Fargo, ND",7.27
"Independence, KS",
"Clovis, NM",2.91
"Lynn, MA",2.84
"Lafayette, IN",5.75
"Odessa, TX",5.68
"South Bend, IN",2.43
"League City, TX",2.5
"Denton, TX",4.25
"Pearland, TX",2.76
"Shreveport, LA",2.62
