City,Potato Price
"New York, NY",3.51
"Los Angeles, CA",3.04
"Chicago, IL",2.38
"Houston, TX",3.03
"Phoenix, AZ",2.98
"Philadelphia, PA",3.56
"San Antonio, TX",1.87
"San Diego, CA",2.96
"Dallas, TX",2.45
"San Jose, CA",3.81
"Austin, TX",2.75
"Jacksonville, FL",2.47
"Fort Worth, TX",2.31
"Columbus, OH",3.66
"San Francisco, CA",3.71
"Charlotte, NC",3.93
"Indianapolis, IN",2.3
"Seattle, WA",3.07
"Denver, CO",2.89
"Washington, DC",3.46
"Boston, MA",4.42
"El Paso, TX",3.49
"Nashville, TN",3.56
"Detroit, MI",2.07
"Oklahoma City, OK",4.1
"Portland, OR",2.99
"Las Vegas, NV",2.2
"Memphis, TN",5.03
"Louisville, KY",2.64
"Baltimore, MD",3.15
"Milwaukee, WI",2.15
"Albuquerque, NM",2.44
"Tucson, AZ",2.41
"Fresno, CA",2.27
"Mesa, AZ",2.98
"Sacramento, CA",3.94
"Atlanta, GA",4.54
"Kansas City, MO",2.79
"Colorado Springs, CO",2.98
"Miami, FL",2.52
"Raleigh, NC",3.4
"Omaha, NE",1.81
"Long Beach, CA",3.11
"Virginia Beach, VA",2.29
"Oakland, CA",3.71
"Minneapolis, MN",2.75
"Tulsa, OK",2.58
"Arlington, VA",3.56
"New Orleans, LA",3.58
"Wichita, KS",2.27
"Cleveland, OH",4.04
"Tampa, FL",4.7
"Bakersfield, CA",1.91
"Aurora, IL",1.86
"Honolulu, HI",4.43
"Anaheim, CA",3.24
"Santa Ana, CA",3.24
"Corpus Christi, TX",2.27
"Riverside, CA",4.52
"Saint Louis, MO",3.94
"Lexington, KY",2.98
"Stockton, CA",1.69
"Pittsburgh, PA",3.14
"Saint Paul, MN",2.75
"Cincinnati, OH",2.05
"Anchorage, AK",2.12
"Henderson, NV",4.72
"Greensboro, NC",2.4
"Plano, TX",2.75
"Newark, NJ",2.96
"Lincoln, NE",2.79
"Toledo, OH",2.28
"Chula Vista, CA",2.96
"Orlando, FL",2.7
"Irvine, CA",3.24
"Fort Wayne, IN",3.66
"Jersey City, NJ",2.84
"Durham, NC",2.85
"Chandler, AZ",2.41
"Madison, WI",2.59
"Laredo, TX",1.87
"Buffalo, NY",2.9
"Lubbock, TX",0.98
"Chesapeake, VA",2.84
"Scottsdale, AZ",2.81
"Glendale, CA",2.96
"Reno, NV",3.77
"Norfolk, VA",4.18
"Winston-Salem, NC",3.4
"Gilbert, AZ",0.88
"Chattanooga, TN",3.56
"Hialeah, FL",4.4
"Garland, TX",1.61
"Fremont, CA",3.6
"Richmond, VA",2.85
"Boise, ID",2.44
"San Bernardino, CA",9.36
"Spokane, WA",2.97
"Des Moines, IA",1.64
"Modesto, CA",3.71
"Tacoma, WA",3.14
"Columbus, OH",3.66
"Montgomery, AL",2.09
"Akron, OH",1.87
"Shreveport, LA",2.83
"Little Rock, AR",2.83
"Augusta, GA",2.8
"Glendale, CA",2.96
"Huntington Beach, CA",4.39
"Overland Park, KS",3.26
"Columbia, SC",2.4
"Naperville, IL",1.26
"McKinney, TX",3.31
"Dayton, OH",2.64
"Fort Collins, CO",2.31
"Bellevue, WA",2.99
"O'Fallon, MO",2.79
"Round Rock, TX",2.45
"Bismarck, ND",1.76
"Waterbury, CT",2.84
"Newport News, VA",2.73
"Lakeland, FL",2.94
"Killeen, TX",1.87
"Tempe, AZ",2.41
"Chico, CA",4.49
"Colton, CA",1.54
"Rockford, IL",2.15
"Surprise, AZ",2.51
"Knoxville, TN",2.22
"Sugar Land, TX",1.87
"Huntington, WV",2.64
"Macon, GA",3.27
"Vallejo, CA",3.6
"Waco, TX",3.03
"Fargo, ND",3.91
"Clovis, NM",1.39
"Lynn, MA",2.84
"Lafayette, IN",2.76
"Odessa, TX",3.86
"South Bend, IN",2.09
"League City, TX",2.4
"Denton, TX",3.64
"Pearland, TX",2.2
"Shreveport, LA",2.83
