City,Rice Price
"New York, NY",7.52
"Los Angeles, CA",5.46
"Chicago, IL",5.55
"Houston, TX",3.56
"Phoenix, AZ",4.64
"Philadelphia, PA",10.13
"San Antonio, TX",4.67
"San Diego, CA",4.72
"Dallas, TX",4.6
"San Jose, CA",3.48
"Austin, TX",3.28
"Jacksonville, FL",3.15
"Fort Worth, TX",3.64
"Columbus, OH",3.92
"San Francisco, CA",6.88
"Charlotte, NC",4.59
"Indianapolis, IN",4.96
"Seattle, WA",5.47
"Denver, CO",5.77
"Washington, DC",6.06
"Boston, MA",5.97
"El Paso, TX",3.23
"Nashville, TN",5.26
"Detroit, MI",5.73
"Oklahoma City, OK",4.04
"Portland, OR",4.43
"Las Vegas, NV",4.87
"Memphis, TN",4.56
"Louisville, KY",4.43
"Baltimore, MD",5.28
"Milwaukee, WI",5.51
"Albuquerque, NM",3.19
"Tucson, AZ",5.19
"Fresno, CA",4.83
"Mesa, AZ",5.19
"Sacramento, CA",5.78
"Atlanta, GA",5.86
"Kansas City, MO",5.55
"Colorado Springs, CO",4.6
"Miami, FL",4.58
"Raleigh, NC",3.45
"Omaha, NE",4.53
"Long Beach, CA",4.13
"Virginia Beach, VA",5.41
"Oakland, CA",6.33
"Minneapolis, MN",4.94
"Tulsa, OK",5.95
"Arlington, VA",6.55
"New Orleans, LA",5.62
"Wichita, KS",4.04
"Cleveland, OH",4.33
"Tampa, FL",5.05
"Bakersfield, CA",5.71
"Aurora, IL",4.91
"Honolulu, HI",8.39
"Anaheim, CA",4.7
"Santa Ana, CA",5.75
"Corpus Christi, TX",3.28
"Riverside, CA",4.12
"Saint Louis, MO",5.16
"Lexington, KY",4.65
"Stockton, CA",6.88
"Pittsburgh, PA",6.43
"Saint Paul, MN",3.89
"Cincinnati, OH",3.27
"Anchorage, AK",4.42
"Henderson, NV",4.17
"Greensboro, NC",3.08
"Plano, TX",4.6
"Newark, NJ",5.12
"Lincoln, NE",5.55
"Toledo, OH",3.57
"Chula Vista, CA",5.46
"Orlando, FL",4.9
"Irvine, CA",4.7
"Fort Wayne, IN",3.92
"Jersey City, NJ",4.06
"Durham, NC",3.71
"Chandler, AZ",2.59
"Madison, WI",5.58
"Laredo, TX",2.85
"Buffalo, NY",4.84
"Lubbock, TX",4.14
"Chesapeake, VA",4.15
"Scottsdale, AZ",4.66
"Glendale, CA",4.72
"Reno, NV",4.38
"Norfolk, VA",6.55
"Winston-Salem, NC",3.45
"Gilbert, AZ",5.19
"Chattanooga, TN",4.94
"Hialeah, FL",4.58
"Garland, TX",4.04
"Fremont, CA",3.65
"Richmond, VA",3.71
"Boise, ID",5.24
"San Bernardino, CA",3.31
"Spokane, WA",4.59
"Des Moines, IA",2.2
"Modesto, CA",6.88
"Tacoma, WA",6.52
"Columbus, OH",3.92
"Montgomery, AL",2.54
"Akron, OH",7.61
"Shreveport, LA",3.04
"Little Rock, AR",3.04
"Augusta, GA",4.1
"Glendale, CA",4.72
"Huntington Beach, CA",4.7
"Overland Park, KS",5.55
"Columbia, SC",3.08
"Naperville, IL",3.31
"McKinney, TX",2.18
"Dayton, OH",4.43
"Fort Collins, CO",3.25
"Bellevue, WA",4.43
"O'Fallon, MO",3.31
"Round Rock, TX",3.28
"Bismarck, ND",2.2
"Waterbury, CT",4.06
"Newport News, VA",2.89
"Lakeland, FL",4.24
"Killeen, TX",3.4
"Tempe, AZ",5.19
"Chico, CA",3.58
"Colton, CA",3.86
"Rockford, IL",5.51
"Surprise, AZ",5.19
"Knoxville, TN",3.91
"Sugar Land, TX",4.67
"Huntington, WV",4.43
"Macon, GA",3.09
"Vallejo, CA",4.01
"Waco, TX",2.64
"Fargo, ND",6.34
"Lynn, MA",4.39
"Lafayette, IN",4.41
"Odessa, TX",4.48
"South Bend, IN",2.67
"League City, TX",2.38
"Denton, TX",3.49
"Pearland, TX",2.2
"Shreveport, LA",3.04
