City,Tomato Price
"New York, NY",6.01
"Los Angeles, CA",5.01
"Chicago, IL",4.44
"Houston, TX",2.74
"Phoenix, AZ",4.7
"Philadelphia, PA",5.44
"San Antonio, TX",3.32
"San Diego, CA",4.9
"Dallas, TX",3.88
"San Jose, CA",6.44
"Austin, TX",3.99
"Jacksonville, FL",4.75
"Fort Worth, TX",4.18
"Columbus, OH",5.11
"San Francisco, CA",7.81
"Charlotte, NC",4.14
"Indianapolis, IN",3.18
"Seattle, WA",6.24
"Denver, CO",5.53
"Washington, DC",6.06
"Boston, MA",7.09
"El Paso, TX",5.51
"Nashville, TN",5.55
"Detroit, MI",5.5
"Oklahoma City, OK",4.52
"Portland, OR",4.71
"Las Vegas, NV",3.61
"Memphis, TN",4.84
"Louisville, KY",5.68
"Baltimore, MD",5.96
"Milwaukee, WI",4.68
"Albuquerque, NM",4.26
"Tucson, AZ",3.99
"Fresno, CA",3.32
"Mesa, AZ",4.7
"Sacramento, CA",6.68
"Atlanta, GA",6.3
"Kansas City, MO",6.23
"Colorado Springs, CO",4.8
"Miami, FL",4.41
"Raleigh, NC",6.0
"Omaha, NE",4.91
"Long Beach, CA",5.94
"Virginia Beach, VA",4.25
"Oakland, CA",7.81
"Minneapolis, MN",5.44
"Tulsa, OK",4.34
"Arlington, VA",5.83
"New Orleans, LA",4.58
"Wichita, KS",4.09
"Cleveland, OH",3.89
"Tampa, FL",5.04
"Bakersfield, CA",5.39
"Aurora, IL",3.18
"Honolulu, HI",7.14
"Anaheim, CA",5.46
"Santa Ana, CA",5.46
"Corpus Christi, TX",2.3
"Riverside, CA",6.12
"Saint Louis, MO",4.47
"Lexington, KY",4.34
"Stockton, CA",6.24
"Pittsburgh, PA",6.61
"Saint Paul, MN",5.19
"Cincinnati, OH",4.92
"Anchorage, AK",7.12
"Henderson, NV",4.87
"Greensboro, NC",3.21
"Plano, TX",3.99
"Newark, NJ",5.49
"Lincoln, NE",4.19
"Toledo, OH",3.74
"Chula Vista, CA",4.9
"Orlando, FL",4.23
"Irvine, CA",5.46
"Fort Wayne, IN",5.11
"Jersey City, NJ",4.12
"Durham, NC",3.52
"Chandler, AZ",3.79
"Madison, WI",4.93
"Laredo, TX",3.12
"Buffalo, NY",4.43
"Lubbock, TX",4.38
"Chesapeake, VA",4.41
"Scottsdale, AZ",4.18
"Glendale, CA",4.9
"Reno, NV",7.2
"Norfolk, VA",5.83
"Winston-Salem, NC",6.0
"Gilbert, AZ",3.99
"Chattanooga, TN",4.07
"Hialeah, FL",4.41
"Garland, TX",1.95
"Fremont, CA",6.44
"Richmond, VA",4.37
"Boise, ID",4.84
"San Bernardino, CA",11.43
"Spokane, WA",5.74
"Des Moines, IA",3.51
"Modesto, CA",6.98
"Tacoma, WA",5.02
"Columbus, OH",5.11
"Montgomery, AL",3.37
"Akron, OH",6.17
"Shreveport, LA",3.65
"Little Rock, AR",3.65
"Augusta, GA",3.3
"Glendale, CA",4.9
"Huntington Beach, CA",6.6
"Overland Park, KS",6.23
"Columbia, SC",3.21
"Naperville, IL",3.18
"McKinney, TX",2.76
"Dayton, OH",5.32
"Fort Collins, CO",4.8
"Bellevue, WA",4.71
"O'Fallon, MO",5.51
"Round Rock, TX",3.88
"Bismarck, ND",
"Waterbury, CT",4.12
"Newport News, VA",4.27
"Lakeland, FL",5.5
"Killeen, TX",2.93
"Tempe, AZ",4.7
"Chico, CA",5.51
"Colton, CA",5.01
"Rockford, IL",4.68
"Surprise, AZ",3.99
"Knoxville, TN",5.78
"Sugar Land, TX",3.32
"Huntington, WV",3.64
"Macon, GA",3.21
"Vallejo, CA",7.72
"Waco, TX",2.74
"Fargo, ND",4.8
"Independence, KS",
"Clovis, NM",2.16
"Lynn, MA",3.06
"Lafayette, IN",5.32
"Odessa, TX",4.95
"South Bend, IN",1.75
"League City, TX",2.69
"Denton, TX",4.52
"Pearland, TX",2.87
"Shreveport, LA",3.65
